,ds,y,yhat,yhat_lower,yhat_upper
0,2022-01-04,259414.0,,,
1,2022-01-05,410971.0,,,
2,2022-01-06,777292.0,,,
3,2022-01-07,1083502.0,,,
4,2022-01-10,674644.0,,,
5,2022-01-11,365680.0,,,
6,2022-01-12,294730.0,,,
7,2022-01-13,958164.0,,,
8,2022-01-14,945232.0,,,
9,2022-01-17,432035.0,,,
10,2022-01-18,397816.0,,,
11,2022-01-19,370325.0,,,
12,2022-01-20,858021.0,,,
13,2022-01-21,975033.0,,,
14,2022-01-24,631733.0,,,
15,2022-01-25,432146.0,,,
16,2022-01-26,461906.0,,,
17,2022-01-27,1106217.0,,,
18,2022-01-28,1716974.0,,,
19,2022-01-31,851419.0,,,
20,2022-02-01,312611.0,,,
21,2022-02-02,310070.0,,,
22,2022-02-03,812228.0,,,
23,2022-02-04,1038291.0,,,
24,2022-02-07,689477.0,,,
25,2022-02-08,345527.0,,,
26,2022-02-09,370832.0,,,
27,2022-02-10,745205.0,,,
28,2022-02-11,956546.0,,,
29,2022-02-14,579393.0,,,
30,2022-02-15,341432.0,,,
31,2022-02-16,314319.0,,,
32,2022-02-17,821458.0,,,
33,2022-02-18,946721.0,,,
34,2022-02-21,414505.0,,,
35,2022-02-22,379875.0,,,
36,2022-02-23,449989.0,,,
37,2022-02-24,1314874.0,,,
38,2022-02-25,2177236.0,,,
39,2022-02-28,739215.0,,,
40,2022-03-01,336731.0,,,
41,2022-03-02,325167.0,,,
42,2022-03-03,833009.0,,,
43,2022-03-04,972683.0,,,
44,2022-03-07,691549.0,,,
45,2022-03-08,351943.0,,,
46,2022-03-09,377257.0,,,
47,2022-03-10,777502.0,,,
48,2022-03-11,924087.0,,,
49,2022-03-14,582168.0,,,
50,2022-03-15,400495.0,,,
51,2022-03-16,327284.0,,,
52,2022-03-17,779836.0,,,
53,2022-03-18,941088.0,,,
54,2022-03-21,430555.0,,,
55,2022-03-22,369441.0,,,
56,2022-03-23,388687.0,,,
57,2022-03-24,1246093.0,,,
58,2022-03-25,1143051.0,,,
59,2022-03-28,413277.0,,,
60,2022-03-29,428987.0,,,
61,2022-03-30,1236145.0,,,
62,2022-03-31,1137554.0,,,
63,2022-04-01,909333.0,,,
64,2022-04-04,463640.0,,,
65,2022-04-05,415097.0,,,
66,2022-04-06,349670.0,,,
67,2022-04-07,1064149.0,,,
68,2022-04-08,930063.0,,,
69,2022-04-11,400529.0,,,
70,2022-04-12,361352.0,,,
71,2022-04-13,2002563.0,,,
72,2022-04-14,495280.0,,,
73,2022-04-19,403079.0,,,
74,2022-04-20,453223.0,,,
75,2022-04-21,918254.0,,,
76,2022-04-22,1287663.0,,,
77,2022-04-25,556900.0,,,
78,2022-04-26,550558.0,,,
79,2022-04-27,759022.0,,,
80,2022-04-28,2937461.0,,,
81,2022-04-29,585369.0,,,
82,2022-05-03,392285.0,,,
83,2022-05-04,463280.0,,,
84,2022-05-05,953633.0,,,
85,2022-05-06,969041.0,,,
86,2022-05-09,791517.0,,,
87,2022-05-10,394126.0,,,
88,2022-05-11,672855.0,,,
