,ds,y,yhat,yhat_lower,yhat_upper
0,2022-01-01,1867.0,,,
1,2022-01-02,2399.0,,,
2,2022-01-03,2876.0,,,
3,2022-01-04,3439.0,,,
4,2022-01-05,3419.0,,,
5,2022-01-06,3094.0,,,
6,2022-01-07,3808.0,,,
7,2022-01-08,3885.0,,,
8,2022-01-09,2614.0,,,
9,2022-01-10,3340.0,,,
10,2022-01-11,3450.0,,,
11,2022-01-12,3576.0,,,
12,2022-01-13,3638.0,,,
13,2022-01-14,4267.0,,,
14,2022-01-15,4129.0,,,
15,2022-01-16,2936.0,,,
16,2022-01-17,3748.0,,,
17,2022-01-18,3586.0,,,
18,2022-01-19,3811.0,,,
19,2022-01-20,4026.0,,,
20,2022-01-21,4781.0,,,
21,2022-01-22,4649.0,,,
22,2022-01-23,3104.0,,,
23,2022-01-24,3530.0,,,
24,2022-01-25,3465.0,,,
25,2022-01-26,3527.0,,,
26,2022-01-27,3759.0,,,
27,2022-01-28,4322.0,,,
28,2022-01-29,4375.0,,,
29,2022-01-30,2905.0,,,
30,2022-01-31,3301.0,,,
31,2022-02-01,3452.0,,,
32,2022-02-02,3365.0,,,
33,2022-02-03,3690.0,,,
34,2022-02-04,4069.0,,,
35,2022-02-05,4342.0,,,
36,2022-02-06,2758.0,,,
37,2022-02-07,3445.0,,,
38,2022-02-08,3494.0,,,
39,2022-02-09,3651.0,,,
40,2022-02-10,4045.0,,,
41,2022-02-11,4874.0,,,
42,2022-02-12,4983.0,,,
43,2022-02-13,3121.0,,,
44,2022-02-14,3822.0,,,
45,2022-02-15,3856.0,,,
46,2022-02-16,3931.0,,,
47,2022-02-17,4274.0,,,
48,2022-02-18,4161.0,,,
49,2022-02-19,5098.0,,,
50,2022-02-20,3206.0,,,
51,2022-02-21,3754.0,,,
52,2022-02-22,4213.0,,,
53,2022-02-23,4079.0,,,
54,2022-02-24,4457.0,,,
55,2022-02-25,5197.0,,,
56,2022-02-26,4849.0,,,
57,2022-02-27,3366.0,,,
58,2022-02-28,3399.0,,,
59,2022-03-01,3688.0,,,
60,2022-03-02,3473.0,,,
61,2022-03-03,3805.0,,,
62,2022-03-04,4521.0,,,
63,2022-03-05,4897.0,,,
64,2022-03-06,3052.0,,,
65,2022-03-07,3792.0,,,
66,2022-03-08,3591.0,,,
67,2022-03-09,3819.0,,,
68,2022-03-10,4381.0,,,
69,2022-03-11,4572.0,,,
70,2022-03-12,5083.0,,,
71,2022-03-13,3389.0,,,
72,2022-03-14,3785.0,,,
73,2022-03-15,4107.0,,,
74,2022-03-16,4010.0,,,
75,2022-03-17,4765.0,,,
76,2022-03-18,5362.0,,,
77,2022-03-19,5144.0,,,
78,2022-03-20,3633.0,,,
79,2022-03-21,4021.0,,,
80,2022-03-22,3845.0,,,
81,2022-03-23,3991.0,,,
82,2022-03-24,4542.0,,,
