,reporting_date,volume
0,2022-01-01,69
1,2022-01-02,121
2,2022-01-03,173
3,2022-01-04,354
4,2022-01-05,298
5,2022-01-06,287
6,2022-01-07,286
7,2022-01-08,244
8,2022-01-09,113
9,2022-01-10,345
10,2022-01-11,277
11,2022-01-12,262
12,2022-01-13,305
13,2022-01-14,317
14,2022-01-15,224
15,2022-01-16,151
16,2022-01-17,309
17,2022-01-18,317
18,2022-01-19,321
19,2022-01-20,280
20,2022-01-21,264
21,2022-01-22,275
22,2022-01-23,135
23,2022-01-24,333
24,2022-01-25,284
25,2022-01-26,256
26,2022-01-27,229
27,2022-01-28,318
28,2022-01-29,219
29,2022-01-30,111
30,2022-01-31,378
31,2022-02-01,340
32,2022-02-02,237
33,2022-02-03,224
34,2022-02-04,255
35,2022-02-05,209
36,2022-02-06,113
37,2022-02-07,279
38,2022-02-08,252
39,2022-02-09,277
40,2022-02-10,297
41,2022-02-11,299
42,2022-02-12,290
43,2022-02-13,107
44,2022-02-14,315
45,2022-02-15,284
46,2022-02-16,254
47,2022-02-17,269
48,2022-02-18,236
49,2022-02-19,313
50,2022-02-20,124
51,2022-02-21,324
52,2022-02-22,276
53,2022-02-23,309
54,2022-02-24,286
55,2022-02-25,281
56,2022-02-26,334
57,2022-02-27,122
58,2022-02-28,359
59,2022-03-01,228
60,2022-03-02,244
61,2022-03-03,228
62,2022-03-04,316
63,2022-03-05,273
64,2022-03-06,113
65,2022-03-07,271
66,2022-03-08,279
67,2022-03-09,233
68,2022-03-10,318
69,2022-03-11,300
70,2022-03-12,268
71,2022-03-13,126
72,2022-03-14,323
73,2022-03-15,376
74,2022-03-16,270
75,2022-03-17,332
76,2022-03-18,359
77,2022-03-19,279
78,2022-03-20,138
79,2022-03-21,330
80,2022-03-22,265
81,2022-03-23,250
82,2022-03-24,303
83,2022-03-25,327
84,2022-03-26,285
85,2022-03-27,122
86,2022-03-28,306
87,2022-03-29,275
88,2022-03-30,258
89,2022-03-31,259
90,2022-04-01,334
91,2022-04-02,310
92,2022-04-03,147
93,2022-04-04,315
94,2022-04-05,284
95,2022-04-06,252
96,2022-04-07,341
97,2022-04-08,333
98,2022-04-09,337
99,2022-04-10,140
100,2022-04-11,331
101,2022-04-12,312
102,2022-04-13,318
103,2022-04-14,315
104,2022-04-15,195
105,2022-04-16,290
106,2022-04-17,101
107,2022-04-18,178
108,2022-04-19,384
109,2022-04-20,400
110,2022-04-21,363
111,2022-04-22,305
112,2022-04-23,287
113,2022-04-24,136
114,2022-04-25,255
115,2022-04-26,279
116,2022-04-27,308
117,2022-04-28,261
118,2022-04-29,326
119,2022-04-30,313
120,2022-05-01,149
121,2022-05-02,162
122,2022-05-03,398
123,2022-05-04,301
124,2022-05-05,324
125,2022-05-06,319
126,2022-05-07,297
127,2022-05-08,151
128,2022-05-09,333
129,2022-05-10,323
130,2022-05-11,301
131,2022-05-12,316
132,2022-05-13,319
133,2022-05-14,397
134,2022-05-15,128
135,2022-05-16,358
136,2022-05-17,303
137,2022-05-18,354
138,2022-05-19,344
139,2022-05-20,330
140,2022-05-21,346
141,2022-05-22,166
142,2022-05-23,353
143,2022-05-24,314
144,2022-05-25,268
145,2022-05-26,303
146,2022-05-27,360
147,2022-05-28,301
148,2022-05-29,155
149,2022-05-30,343
150,2022-05-31,317
151,2022-06-01,395
152,2022-06-02,210
153,2022-06-03,167
154,2022-06-04,269
155,2022-06-05,153
156,2022-06-06,355
157,2022-06-07,333
158,2022-06-08,276
159,2022-06-09,303
160,2022-06-10,361
161,2022-06-11,362
162,2022-06-12,174
163,2022-06-13,306
164,2022-06-14,353
165,2022-06-15,356
166,2022-06-16,332
167,2022-06-17,381
168,2022-06-18,400
169,2022-06-19,153
170,2022-06-20,353
171,2022-06-21,354
172,2022-06-22,330
173,2022-06-23,339
174,2022-06-24,330
175,2022-06-25,302
176,2022-06-26,175
177,2022-06-27,363
178,2022-06-28,353
179,2022-06-29,326
180,2022-06-30,311
181,2022-07-01,355
182,2022-07-02,300
183,2022-07-03,140
184,2022-07-04,279
185,2022-07-05,314
186,2022-07-06,370
187,2022-07-07,274
188,2022-07-08,337
189,2022-07-09,338
190,2022-07-10,146
191,2022-07-11,344
192,2022-07-12,283
193,2022-07-13,337
194,2022-07-14,366
195,2022-07-15,399
196,2022-07-16,321
197,2022-07-17,144
198,2022-07-18,338
199,2022-07-19,266
200,2022-07-20,316
201,2022-07-21,319
202,2022-07-22,319
203,2022-07-23,284
204,2022-07-24,154
205,2022-07-25,298
206,2022-07-26,299
207,2022-07-27,290
208,2022-07-28,317
209,2022-07-29,359
210,2022-07-30,294
211,2022-07-31,143
212,2022-08-01,353
213,2022-08-02,271
214,2022-08-03,283
215,2022-08-04,310
216,2022-08-05,351
217,2022-08-06,296
218,2022-08-07,139
219,2022-08-08,324
220,2022-08-09,338
221,2022-08-10,334
222,2022-08-11,287
223,2022-08-12,370
224,2022-08-13,243
225,2022-08-14,138
226,2022-08-15,364
227,2022-08-16,364
228,2022-08-17,316
229,2022-08-18,351
230,2022-08-19,318
231,2022-08-20,312
232,2022-08-21,171
233,2022-08-22,324
234,2022-08-23,334
235,2022-08-24,316
236,2022-08-25,294
237,2022-08-26,354
238,2022-08-27,293
239,2022-08-28,148
240,2022-08-29,156
241,2022-08-30,377
242,2022-08-31,324
243,2022-09-01,345
244,2022-09-02,341
245,2022-09-03,304
246,2022-09-04,168
247,2022-09-05,355
248,2022-09-06,360
249,2022-09-07,318
250,2022-09-08,294
251,2022-09-09,309
252,2022-09-10,325
253,2022-09-11,149
254,2022-09-12,364
255,2022-09-13,320
256,2022-09-14,400
257,2022-09-15,320
258,2022-09-16,441
259,2022-09-17,347
260,2022-09-18,150
261,2022-09-19,76
262,2022-09-20,401
263,2022-09-21,303
264,2022-09-22,325
265,2022-09-23,346
266,2022-09-24,321
267,2022-09-25,151
268,2022-09-26,281
269,2022-09-27,285
270,2022-09-28,287
271,2022-09-29,302
272,2022-09-30,284
273,2022-10-01,260
274,2022-10-02,112
275,2022-10-03,315
276,2022-10-04,278
277,2022-10-05,265
278,2022-10-06,247
279,2022-10-07,303
280,2022-10-08,302
281,2022-10-09,139
282,2022-10-10,364
283,2022-10-11,288
284,2022-10-12,287
285,2022-10-13,318
286,2022-10-14,318
287,2022-10-15,371
288,2022-10-16,173
289,2022-10-17,308
290,2022-10-18,299
291,2022-10-19,322
292,2022-10-20,284
293,2022-10-21,371
294,2022-10-22,294
295,2022-10-23,144
296,2022-10-24,293
297,2022-10-25,288
298,2022-10-26,260
299,2022-10-27,287
300,2022-10-28,298
301,2022-10-29,238
302,2022-10-30,115
303,2022-10-31,308
304,2022-11-01,286
305,2022-11-02,274
306,2022-11-03,235
307,2022-11-04,316
308,2022-11-05,243
309,2022-11-06,101
310,2022-11-07,246
311,2022-11-08,260
312,2022-11-09,265
313,2022-11-10,318
314,2022-11-11,271
315,2022-11-12,320
316,2022-11-13,150
317,2022-11-14,308
318,2022-11-15,244
319,2022-11-16,290
320,2022-11-17,316
321,2022-11-18,288
322,2022-11-19,304
323,2022-11-20,143
324,2022-11-21,222
325,2022-11-22,290
326,2022-11-23,232
327,2022-11-24,276
328,2022-11-25,324
329,2022-11-26,240
330,2022-11-27,116
331,2022-11-28,286
332,2022-11-29,279
333,2022-11-30,321
334,2022-12-01,274
335,2022-12-02,260
336,2022-12-03,294
337,2022-12-04,113
338,2022-12-05,245
339,2022-12-06,292
340,2022-12-07,301
341,2022-12-08,273
342,2022-12-09,359
343,2022-12-10,339
344,2022-12-11,128
345,2022-12-12,248
346,2022-12-13,265
347,2022-12-14,299
348,2022-12-15,301
349,2022-12-16,314
350,2022-12-17,284
351,2022-12-18,116
352,2022-12-19,327
353,2022-12-20,340
354,2022-12-21,299
355,2022-12-22,369
356,2022-12-23,389
357,2022-12-24,282
358,2022-12-25,20
359,2022-12-26,90
360,2022-12-27,109
361,2022-12-28,204
362,2022-12-29,264
363,2022-12-30,242
364,2022-12-31,241
365,2023-01-01,76
366,2023-01-02,168
367,2023-01-03,335
368,2023-01-04,240
369,2023-01-05,262
370,2023-01-06,310
371,2023-01-07,236
372,2023-01-08,162
373,2023-01-09,323
374,2023-01-10,236
375,2023-01-11,315
376,2023-01-12,226
377,2023-01-13,278
378,2023-01-14,306
379,2023-01-15,145
380,2023-01-16,339
381,2023-01-17,234
382,2023-01-18,234
383,2023-01-19,234
384,2023-01-20,330
385,2023-01-21,293
386,2023-01-22,144
387,2023-01-23,332
388,2023-01-24,259
389,2023-01-25,239
390,2023-01-26,267
391,2023-01-27,333
392,2023-01-28,274
393,2023-01-29,125
394,2023-01-30,293
395,2023-01-31,299
396,2023-02-01,341
397,2023-02-02,246
398,2023-02-03,288
399,2023-02-04,253
400,2023-02-05,167
401,2023-02-06,251
402,2023-02-07,263
403,2023-02-08,244
404,2023-02-09,305
405,2023-02-10,316
406,2023-02-11,352
407,2023-02-12,126
408,2023-02-13,275
409,2023-02-14,337
410,2023-02-15,313
411,2023-02-16,272
412,2023-02-17,325
413,2023-02-18,320
414,2023-02-19,134
415,2023-02-20,301
416,2023-02-21,272
417,2023-02-22,250
418,2023-02-23,265
419,2023-02-24,306
420,2023-02-25,281
421,2023-02-26,95
422,2023-02-27,308
423,2023-02-28,351
424,2023-03-01,292
425,2023-03-02,310
426,2023-03-03,322
427,2023-03-04,284
428,2023-03-05,127
429,2023-03-06,285
430,2023-03-07,236
431,2023-03-08,215
432,2023-03-09,225
433,2023-03-10,285
434,2023-03-11,301
435,2023-03-12,138
436,2023-03-13,288
437,2023-03-14,304
438,2023-03-15,297
439,2023-03-16,319
440,2023-03-17,342
441,2023-03-18,244
442,2023-03-19,138
443,2023-03-20,283
444,2023-03-21,285
445,2023-03-22,268
446,2023-03-23,255
447,2023-03-24,313
448,2023-03-25,305
449,2023-03-26,141
450,2023-03-27,286
451,2023-03-28,225
452,2023-03-29,256
453,2023-03-30,294
454,2023-03-31,315
455,2023-04-01,282
456,2023-04-02,110
457,2023-04-03,367
458,2023-04-04,309
459,2023-04-05,356
460,2023-04-06,300
461,2023-04-07,160
462,2023-04-08,248
463,2023-04-09,109
464,2023-04-10,122
465,2023-04-11,391
466,2023-04-12,304
467,2023-04-13,371
468,2023-04-14,314
469,2023-04-15,248
470,2023-04-16,151
471,2023-04-17,329
472,2023-04-18,293
473,2023-04-19,286
474,2023-04-20,303
475,2023-04-21,307
476,2023-04-22,300
477,2023-04-23,129
478,2023-04-24,286
479,2023-04-25,304
480,2023-04-26,282
481,2023-04-27,254
482,2023-04-28,291
483,2023-04-29,285
484,2023-04-30,123
485,2023-05-01,164
486,2023-05-02,393
487,2023-05-03,285
488,2023-05-04,318
489,2023-05-05,303
490,2023-05-06,220
491,2023-05-07,154
492,2023-05-08,132
493,2023-05-09,381
494,2023-05-10,307
495,2023-05-11,295
496,2023-05-12,350
