,reporting_date,volume
0,2022-01-01,7107
1,2022-01-02,4633
2,2022-01-03,7320
3,2022-01-04,109801
4,2022-01-05,36959
5,2022-01-06,34667
6,2022-01-07,42265
7,2022-01-08,4933
8,2022-01-09,4057
9,2022-01-10,52494
10,2022-01-11,33614
11,2022-01-12,34012
12,2022-01-13,30637
13,2022-01-14,42338
14,2022-01-15,4985
15,2022-01-16,3980
16,2022-01-17,58114
17,2022-01-18,32427
18,2022-01-19,29194
19,2022-01-20,35334
20,2022-01-21,38723
21,2022-01-22,4323
22,2022-01-23,3813
23,2022-01-24,45845
24,2022-01-25,34489
25,2022-01-26,30682
26,2022-01-27,33456
27,2022-01-28,50220
28,2022-01-29,5777
29,2022-01-30,5095
30,2022-01-31,71171
31,2022-02-01,91617
32,2022-02-02,37754
33,2022-02-03,36776
34,2022-02-04,43419
35,2022-02-05,5063
36,2022-02-06,4644
37,2022-02-07,52424
38,2022-02-08,33566
39,2022-02-09,31908
40,2022-02-10,34912
41,2022-02-11,39021
42,2022-02-12,4577
43,2022-02-13,3920
44,2022-02-14,47747
45,2022-02-15,40696
46,2022-02-16,33760
47,2022-02-17,28562
48,2022-02-18,39121
49,2022-02-19,4390
50,2022-02-20,3937
51,2022-02-21,48186
52,2022-02-22,30364
53,2022-02-23,29640
54,2022-02-24,31577
55,2022-02-25,46513
56,2022-02-26,5950
57,2022-02-27,5300
58,2022-02-28,88596
59,2022-03-01,97687
60,2022-03-02,40132
61,2022-03-03,40495
62,2022-03-04,45449
63,2022-03-05,5470
64,2022-03-06,4646
65,2022-03-07,54316
66,2022-03-08,34785
67,2022-03-09,32931
68,2022-03-10,37027
69,2022-03-11,41216
70,2022-03-12,5005
71,2022-03-13,4054
72,2022-03-14,49942
73,2022-03-15,42716
74,2022-03-16,35938
75,2022-03-17,31114
76,2022-03-18,40570
77,2022-03-19,4884
78,2022-03-20,4100
79,2022-03-21,50977
80,2022-03-22,31302
81,2022-03-23,30854
82,2022-03-24,32061
83,2022-03-25,45701
84,2022-03-26,5747
85,2022-03-27,6747
86,2022-03-28,56789
87,2022-03-29,37055
88,2022-03-30,39817
89,2022-03-31,59226
90,2022-04-01,102903
91,2022-04-02,6362
92,2022-04-03,6826
93,2022-04-04,57968
94,2022-04-05,40091
95,2022-04-06,36180
96,2022-04-07,36010
97,2022-04-08,42330
98,2022-04-09,5074
99,2022-04-10,5855
100,2022-04-11,49954
101,2022-04-12,34595
102,2022-04-13,31303
103,2022-04-14,43759
104,2022-04-15,7082
105,2022-04-16,3564
106,2022-04-17,2704
107,2022-04-18,7361
108,2022-04-19,73082
109,2022-04-20,37250
110,2022-04-21,34286
111,2022-04-22,40034
112,2022-04-23,5051
113,2022-04-24,6289
114,2022-04-25,49992
115,2022-04-26,36001
116,2022-04-27,35350
117,2022-04-28,45401
118,2022-04-29,68264
119,2022-04-30,8209
120,2022-05-01,8450
121,2022-05-02,10019
122,2022-05-03,122787
123,2022-05-04,42651
124,2022-05-05,42736
125,2022-05-06,46802
126,2022-05-07,5833
127,2022-05-08,5817
128,2022-05-09,52600
129,2022-05-10,39481
130,2022-05-11,36046
131,2022-05-12,34582
132,2022-05-13,43027
133,2022-05-14,4766
134,2022-05-15,7242
135,2022-05-16,56567
136,2022-05-17,33445
137,2022-05-18,32821
138,2022-05-19,32239
139,2022-05-20,42514
140,2022-05-21,4890
141,2022-05-22,5777
142,2022-05-23,45753
143,2022-05-24,33929
144,2022-05-25,36136
145,2022-05-26,35445
146,2022-05-27,46693
147,2022-05-28,6337
148,2022-05-29,7036
149,2022-05-30,59016
150,2022-05-31,59607
151,2022-06-01,93995
152,2022-06-02,9281
153,2022-06-03,5806
154,2022-06-04,4170
155,2022-06-05,6031
156,2022-06-06,78855
157,2022-06-07,41647
158,2022-06-08,36923
159,2022-06-09,35259
160,2022-06-10,46878
161,2022-06-11,5371
162,2022-06-12,6256
163,2022-06-13,48180
164,2022-06-14,35771
165,2022-06-15,42027
166,2022-06-16,37537
167,2022-06-17,40865
168,2022-06-18,5098
169,2022-06-19,5060
170,2022-06-20,52053
171,2022-06-21,36687
172,2022-06-22,32556
173,2022-06-23,33201
174,2022-06-24,44135
175,2022-06-25,5600
176,2022-06-26,6691
177,2022-06-27,53293
178,2022-06-28,43755
179,2022-06-29,38786
180,2022-06-30,65532
181,2022-07-01,101433
182,2022-07-02,6783
183,2022-07-03,7145
184,2022-07-04,19591
185,2022-07-05,15815
186,2022-07-06,10876
187,2022-07-08,12342
188,2022-07-09,5616
189,2022-07-10,5704
190,2022-07-11,17780
191,2022-07-15,12650
192,2022-07-16,5463
193,2022-07-17,6438
194,2022-07-18,16905
195,2022-07-22,11510
196,2022-07-23,5593
197,2022-07-24,5828
198,2022-07-25,17124
199,2022-07-29,15371
200,2022-07-30,5087
201,2022-07-31,6488
202,2022-08-01,85793
203,2022-08-02,59290
204,2022-08-03,51264
205,2022-08-04,49498
206,2022-08-05,57892
207,2022-08-06,7608
208,2022-08-07,10772
209,2022-08-08,65654
210,2022-08-09,47594
211,2022-08-10,47104
212,2022-08-11,45898
213,2022-08-12,52270
214,2022-08-13,6708
215,2022-08-14,11208
216,2022-08-15,71312
217,2022-08-16,47866
218,2022-08-17,42748
219,2022-08-18,43778
220,2022-08-19,50886
221,2022-08-20,6998
222,2022-08-21,8286
223,2022-08-22,64080
224,2022-08-23,43654
225,2022-08-24,43064
226,2022-08-25,46670
227,2022-08-26,57338
228,2022-08-27,7684
229,2022-08-28,6456
230,2022-08-29,15034
231,2022-08-30,87828
232,2022-08-31,78302
233,2022-09-01,111334
234,2022-09-02,64562
235,2022-09-03,8874
236,2022-09-04,11814
237,2022-09-05,73740
238,2022-09-06,52634
239,2022-09-07,50578
240,2022-09-08,48260
241,2022-09-09,55694
242,2022-09-10,8548
243,2022-09-11,11692
244,2022-09-12,67532
245,2022-09-13,47454
246,2022-09-14,49664
247,2022-09-15,53684
248,2022-09-16,60074
249,2022-09-17,7286
250,2022-09-18,5560
251,2022-09-19,13140
252,2022-09-20,76632
253,2022-09-21,48748
254,2022-09-22,46120
255,2022-09-23,54960
256,2022-09-24,8104
257,2022-09-25,10562
258,2022-09-26,69138
259,2022-09-27,50908
260,2022-09-28,56114
261,2022-09-29,54060
262,2022-09-30,94172
263,2022-10-01,15320
264,2022-10-02,12564
265,2022-10-03,128022
266,2022-10-04,60780
267,2022-10-05,56424
268,2022-10-06,52346
269,2022-10-07,60086
270,2022-10-08,8370
271,2022-10-09,10180
272,2022-10-10,72554
273,2022-10-11,49680
274,2022-10-12,48348
275,2022-10-13,47270
276,2022-10-14,59052
277,2022-10-15,7774
278,2022-10-16,10100
279,2022-10-17,75828
280,2022-10-18,47594
281,2022-10-19,33893
282,2022-10-20,24120
283,2022-10-21,39069
284,2022-10-22,7278
285,2022-10-23,10022
286,2022-10-24,64606
287,2022-10-25,48562
288,2022-10-26,46358
289,2022-10-27,49612
290,2022-10-28,67558
291,2022-10-29,9380
292,2022-10-30,9902
293,2022-10-31,100829
294,2022-11-01,117350
295,2022-11-02,57392
296,2022-11-03,56526
297,2022-11-04,62138
298,2022-11-05,8848
299,2022-11-06,8174
300,2022-11-07,74484
301,2022-11-08,51900
302,2022-11-09,48764
303,2022-11-10,51534
304,2022-11-11,56340
305,2022-11-12,7544
306,2022-11-13,6836
307,2022-11-14,69522
308,2022-11-15,59090
309,2022-11-16,50292
310,2022-11-17,47460
311,2022-11-18,56730
312,2022-11-19,7332
313,2022-11-20,7356
314,2022-11-21,67898
315,2022-11-22,45290
316,2022-11-23,44622
317,2022-11-24,46646
318,2022-11-25,59376
319,2022-11-26,8480
320,2022-11-27,8118
321,2022-11-28,80040
322,2022-11-29,54296
323,2022-11-30,84864
324,2022-12-01,115402
325,2022-12-02,66918
326,2022-12-03,9302
327,2022-12-04,8436
328,2022-12-05,81372
329,2022-12-06,53636
330,2022-12-07,50726
331,2022-12-08,55030
332,2022-12-09,59100
333,2022-12-10,8274
334,2022-12-11,7748
335,2022-12-12,72278
